Longueur,Quantité,Proportion
2,8,0.0030852294639413806
3,15,0.005784805244890089
4,14,0.005399151561897416
5,19,0.007327419976860779
6,9,0.003470883146934053
7,8,0.0030852294639413806
8,17,0.006556112610875434
9,7,0.002699575780948708
10,7,0.002699575780948708
11,1,0.0003856536829926726
12,3,0.0011569610489780178
13,4,0.0015426147319706903
14,6,0.0023139220979560356
15,12,0.004627844195912071
16,5,0.0019282684149633628
17,9,0.003470883146934053
18,4,0.0015426147319706903
20,6,0.0023139220979560356
21,5,0.0019282684149633628
22,11,0.004242190512919399
23,8,0.0030852294639413806
24,7,0.002699575780948708
25,9,0.003470883146934053
26,5,0.0019282684149633628
27,10,0.0038565368299267257
28,5,0.0019282684149633628
29,8,0.0030852294639413806
30,5,0.0019282684149633628
31,9,0.003470883146934053
32,21,0.008098727342846125
33,16,0.006170458927882761
34,9,0.003470883146934053
35,15,0.005784805244890089
36,10,0.0038565368299267257
37,9,0.003470883146934053
38,3,0.0011569610489780178
39,3,0.0011569610489780178
40,11,0.004242190512919399
41,8,0.0030852294639413806
42,11,0.004242190512919399
43,7,0.002699575780948708
44,3,0.0011569610489780178
45,6,0.0023139220979560356
46,8,0.0030852294639413806
47,8,0.0030852294639413806
48,9,0.003470883146934053
49,10,0.0038565368299267257
50,23,0.00887003470883147
51,16,0.006170458927882761
52,15,0.005784805244890089
53,11,0.004242190512919399
54,15,0.005784805244890089
55,14,0.005399151561897416
56,5,0.0019282684149633628
57,9,0.003470883146934053
58,16,0.006170458927882761
59,8,0.0030852294639413806
60,8,0.0030852294639413806
61,9,0.003470883146934053
62,7,0.002699575780948708
63,16,0.006170458927882761
64,6,0.0023139220979560356
65,14,0.005399151561897416
66,10,0.0038565368299267257
67,16,0.006170458927882761
68,14,0.005399151561897416
69,12,0.004627844195912071
70,8,0.0030852294639413806
71,9,0.003470883146934053
72,12,0.004627844195912071
73,12,0.004627844195912071
74,13,0.005013497878904744
75,15,0.005784805244890089
76,11,0.004242190512919399
77,15,0.005784805244890089
78,11,0.004242190512919399
79,10,0.0038565368299267257
80,7,0.002699575780948708
81,9,0.003470883146934053
82,6,0.0023139220979560356
83,11,0.004242190512919399
84,11,0.004242190512919399
85,12,0.004627844195912071
86,9,0.003470883146934053
87,13,0.005013497878904744
88,12,0.004627844195912071
89,16,0.006170458927882761
90,7,0.002699575780948708
91,12,0.004627844195912071
92,6,0.0023139220979560356
93,13,0.005013497878904744
94,16,0.006170458927882761
95,9,0.003470883146934053
96,9,0.003470883146934053
97,10,0.0038565368299267257
98,9,0.003470883146934053
99,7,0.002699575780948708
100,12,0.004627844195912071
101,5,0.0019282684149633628
102,12,0.004627844195912071
103,13,0.005013497878904744
104,11,0.004242190512919399
105,9,0.003470883146934053
106,8,0.0030852294639413806
107,9,0.003470883146934053
108,10,0.0038565368299267257
109,8,0.0030852294639413806
110,9,0.003470883146934053
111,8,0.0030852294639413806
112,7,0.002699575780948708
113,12,0.004627844195912071
114,8,0.0030852294639413806
115,1,0.0003856536829926726
116,13,0.005013497878904744
117,5,0.0019282684149633628
118,9,0.003470883146934053
119,8,0.0030852294639413806
120,15,0.005784805244890089
121,10,0.0038565368299267257
122,13,0.005013497878904744
123,10,0.0038565368299267257
124,10,0.0038565368299267257
125,13,0.005013497878904744
126,12,0.004627844195912071
127,5,0.0019282684149633628
128,12,0.004627844195912071
129,8,0.0030852294639413806
130,9,0.003470883146934053
131,6,0.0023139220979560356
132,7,0.002699575780948708
133,5,0.0019282684149633628
134,9,0.003470883146934053
135,7,0.002699575780948708
136,9,0.003470883146934053
137,9,0.003470883146934053
138,13,0.005013497878904744
139,6,0.0023139220979560356
140,4,0.0015426147319706903
141,11,0.004242190512919399
142,4,0.0015426147319706903
143,10,0.0038565368299267257
144,7,0.002699575780948708
145,8,0.0030852294639413806
146,6,0.0023139220979560356
147,7,0.002699575780948708
148,16,0.006170458927882761
149,15,0.005784805244890089
150,7,0.002699575780948708
151,10,0.0038565368299267257
152,9,0.003470883146934053
153,7,0.002699575780948708
154,4,0.0015426147319706903
155,8,0.0030852294639413806
156,2,0.0007713073659853452
157,5,0.0019282684149633628
158,7,0.002699575780948708
159,6,0.0023139220979560356
160,7,0.002699575780948708
161,6,0.0023139220979560356
162,6,0.0023139220979560356
163,8,0.0030852294639413806
164,5,0.0019282684149633628
165,5,0.0019282684149633628
166,5,0.0019282684149633628
167,7,0.002699575780948708
168,10,0.0038565368299267257
169,10,0.0038565368299267257
170,7,0.002699575780948708
171,10,0.0038565368299267257
172,4,0.0015426147319706903
173,13,0.005013497878904744
174,5,0.0019282684149633628
175,6,0.0023139220979560356
176,10,0.0038565368299267257
177,1,0.0003856536829926726
178,4,0.0015426147319706903
179,3,0.0011569610489780178
180,2,0.0007713073659853452
181,6,0.0023139220979560356
182,7,0.002699575780948708
183,4,0.0015426147319706903
184,8,0.0030852294639413806
185,7,0.002699575780948708
186,5,0.0019282684149633628
187,5,0.0019282684149633628
188,3,0.0011569610489780178
189,2,0.0007713073659853452
190,9,0.003470883146934053
191,3,0.0011569610489780178
192,2,0.0007713073659853452
193,2,0.0007713073659853452
194,10,0.0038565368299267257
195,1,0.0003856536829926726
196,3,0.0011569610489780178
197,8,0.0030852294639413806
198,4,0.0015426147319706903
199,12,0.004627844195912071
200,1,0.0003856536829926726
201,2,0.0007713073659853452
202,4,0.0015426147319706903
203,3,0.0011569610489780178
204,6,0.0023139220979560356
205,5,0.0019282684149633628
206,3,0.0011569610489780178
207,6,0.0023139220979560356
208,3,0.0011569610489780178
209,6,0.0023139220979560356
210,9,0.003470883146934053
211,3,0.0011569610489780178
212,2,0.0007713073659853452
213,8,0.0030852294639413806
214,3,0.0011569610489780178
215,3,0.0011569610489780178
216,4,0.0015426147319706903
217,3,0.0011569610489780178
218,5,0.0019282684149633628
219,6,0.0023139220979560356
220,3,0.0011569610489780178
221,5,0.0019282684149633628
222,2,0.0007713073659853452
223,8,0.0030852294639413806
224,2,0.0007713073659853452
225,3,0.0011569610489780178
226,3,0.0011569610489780178
227,4,0.0015426147319706903
228,4,0.0015426147319706903
229,4,0.0015426147319706903
230,3,0.0011569610489780178
231,3,0.0011569610489780178
232,4,0.0015426147319706903
233,8,0.0030852294639413806
234,3,0.0011569610489780178
235,4,0.0015426147319706903
236,1,0.0003856536829926726
237,4,0.0015426147319706903
238,2,0.0007713073659853452
239,3,0.0011569610489780178
240,1,0.0003856536829926726
241,6,0.0023139220979560356
242,3,0.0011569610489780178
243,5,0.0019282684149633628
244,6,0.0023139220979560356
245,5,0.0019282684149633628
246,4,0.0015426147319706903
247,5,0.0019282684149633628
248,3,0.0011569610489780178
249,3,0.0011569610489780178
250,6,0.0023139220979560356
251,5,0.0019282684149633628
252,4,0.0015426147319706903
253,5,0.0019282684149633628
254,4,0.0015426147319706903
255,2,0.0007713073659853452
256,2,0.0007713073659853452
257,4,0.0015426147319706903
258,1,0.0003856536829926726
259,8,0.0030852294639413806
260,1,0.0003856536829926726
262,2,0.0007713073659853452
263,2,0.0007713073659853452
264,5,0.0019282684149633628
265,3,0.0011569610489780178
267,2,0.0007713073659853452
268,5,0.0019282684149633628
269,1,0.0003856536829926726
270,5,0.0019282684149633628
271,8,0.0030852294639413806
272,2,0.0007713073659853452
273,3,0.0011569610489780178
274,3,0.0011569610489780178
275,4,0.0015426147319706903
276,3,0.0011569610489780178
277,2,0.0007713073659853452
278,6,0.0023139220979560356
280,3,0.0011569610489780178
281,1,0.0003856536829926726
282,3,0.0011569610489780178
283,3,0.0011569610489780178
284,1,0.0003856536829926726
285,5,0.0019282684149633628
286,4,0.0015426147319706903
287,2,0.0007713073659853452
288,2,0.0007713073659853452
289,2,0.0007713073659853452
290,1,0.0003856536829926726
291,3,0.0011569610489780178
292,7,0.002699575780948708
293,2,0.0007713073659853452
294,2,0.0007713073659853452
295,3,0.0011569610489780178
296,3,0.0011569610489780178
297,3,0.0011569610489780178
298,3,0.0011569610489780178
299,1,0.0003856536829926726
300,3,0.0011569610489780178
301,3,0.0011569610489780178
302,2,0.0007713073659853452
303,2,0.0007713073659853452
305,2,0.0007713073659853452
306,3,0.0011569610489780178
307,1,0.0003856536829926726
308,2,0.0007713073659853452
309,2,0.0007713073659853452
310,5,0.0019282684149633628
312,2,0.0007713073659853452
313,3,0.0011569610489780178
314,2,0.0007713073659853452
315,2,0.0007713073659853452
316,4,0.0015426147319706903
